Regiao,CO,CO,CO,CO,CO,N,N,N,N,N,N,N,NE,NE,NE,NE,NE,NE,NE,NE,S,S,S,SE,SE,SE,SE
UF_sigla,DF,GO,MS,MT,TO,AC,AM,AP,MA,PA,RO,RR,AL,BA,CE,PB,PE,PI,RN,SE,PR,RS,SC,ES,MG,RJ,SP
Melão,0.0,0.0,0.14,0.55,0.09,0.0,0.04,0.0,0.06,0.03,0.0,0.15,0.36,13.12,10.27,0.16,5.54,3.08,54.65,0.0,1.0,10.49,0.27,0.0,0.0,0.0,0.02
Milho (em grão),0.3,9.39,9.89,29.33,1.79,0.17,0.01,0.01,2.44,1.83,1.6,0.11,0.16,2.94,2.82,0.37,0.52,2.55,0.14,0.84,13.89,7.84,1.69,0.07,5.84,0.01,3.43
Noz (fruto seco),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.82,91.35,1.67,0.0,1.0,0.0,0.15
Palmito,0.18,2.9,0.13,2.45,0.0,0.32,0.0,0.0,0.0,0.84,0.0,0.0,0.0,12.76,0.0,0.0,0.0,0.0,0.0,0.0,12.21,0.0,21.06,4.68,1.21,1.73,39.54
Pera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.62,51.0,25.84,0.0,9.19,0.0,3.35
Pimenta-do-reino,0.0,0.0,0.0,0.01,0.01,0.0,0.02,0.0,0.03,42.96,0.26,0.0,0.76,7.82,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.17,0.76,0.0,0.0
Pêssego,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35,73.5,7.74,0.28,3.89,0.0,9.23
Sisal ou agave (fibra),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.37,0.03,5.54,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soja (em grão),0.18,8.52,7.45,23.08,2.58,0.01,0.01,0.01,2.26,1.66,0.88,0.13,0.01,3.75,0.0,0.0,0.0,1.84,0.0,0.0,12.19,26.98,1.52,0.0,4.27,0.0,2.65
Sorgo (em grão),1.01,40.64,3.19,5.53,4.36,0.0,0.0,0.0,1.12,2.31,0.0,0.0,0.03,7.75,0.33,0.0,0.01,1.26,0.04,0.0,0.31,0.42,0.0,0.0,23.11,0.0,8.57
Tangerina,0.21,1.86,0.37,0.15,0.01,0.31,0.1,0.0,0.0,0.21,0.14,0.08,0.28,2.62,0.63,3.27,0.0,0.0,0.0,0.81,16.29,24.14,1.42,2.49,23.41,2.82,18.39
Tomate,0.65,19.79,0.07,0.34,0.0,0.0,0.06,0.0,0.32,0.39,0.29,0.3,0.27,8.87,4.32,1.07,2.55,0.34,0.32,0.47,6.66,7.57,4.65,4.64,13.6,4.28,18.19
Trigo (em grão),0.08,0.51,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,28.88,61.87,2.43,0.0,1.91,0.0,3.83
Triticale (em grão),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.74,18.62,0.24,0.0,0.0,0.0,9.4
Tungue (fruto seco),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Urucum (semente),0.0,0.0,6.54,2.15,0.0,0.34,0.02,0.0,0.0,7.79,5.82,0.0,0.0,15.21,0.65,2.83,0.55,0.0,0.0,0.0,7.66,0.0,0.0,0.49,8.36,0.02,41.55
Uva,0.08,0.12,0.01,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,3.29,0.03,0.17,11.69,0.01,0.0,0.0,4.73,61.22,5.17,0.26,1.72,0.03,11.39
